image_name,labels
2755860336_126b78842a_o.jpg,"['Plant(96.71%)', 'Building(96.41%)', 'Window(94.87%)', 'Porch(91.06%)', 'House(89.97%)', 'Tree(89.44%)', 'Wood(88.84%)', 'Land lot(85.98%)', 'Architecture(85.30%)', 'Door(84.17%)']"
5005678830_2e45739d41_o.jpg,"['Plant(97.29%)', 'Sky(96.57%)', 'Building(96.18%)', 'Window(94.75%)', 'Door(90.48%)', 'Tree(89.80%)', 'House(89.03%)', 'Porch(86.78%)', 'Land lot(85.91%)', 'Fixture(83.94%)']"
sun_bggixrgemhvuewkc.jpg,"['Plant(96.76%)', 'Building(96.48%)', 'Car(95.52%)', 'Daytime(94.62%)', 'Sky(92.85%)', 'Window(90.57%)', 'Tree(89.30%)', 'Vehicle(88.06%)', 'Wheel(86.55%)', 'Urban design(84.31%)']"
sun_arkbrhiinafdbhrw.jpg,"['Plant(96.95%)', 'Plant community(93.29%)', 'Ecoregion(92.82%)', 'Natural landscape(90.08%)', 'Wood(88.37%)', 'Tree(87.81%)', 'Trunk(86.77%)', 'Terrestrial plant(86.38%)', 'Water(85.32%)', 'Deciduous(81.96%)']"
sun_blplndgggpunourm.jpg,"['Water(98.00%)', 'Plant(96.93%)', 'Water resources(94.86%)', 'Sky(94.37%)', 'Plant community(93.46%)', 'Green(92.97%)', 'Blue(90.99%)', 'Natural landscape(90.15%)', 'Mountain(90.09%)', 'Nature(90.00%)']"
sun_becpynhazdxerqrj.jpg,"['Water(98.08%)', 'Water resources(94.44%)', 'Nature(89.92%)', 'Tree(89.69%)', 'Natural landscape(88.58%)', 'Fluvial landforms of streams(87.55%)', 'Waterfall(87.39%)', 'Sunlight(85.89%)', 'Vegetation(85.17%)', 'Body of water(84.59%)']"
5002497986_eaaca4ec80_o.jpg,"['Plant(95.75%)', 'Window(92.34%)', 'Sky(88.80%)', 'Font(78.52%)', 'Building(77.37%)', 'Brick(77.20%)', 'Facade(76.79%)', 'City(74.82%)', 'Commercial building(72.53%)', 'Condominium(72.01%)']"
sun_ahaosbevhmnktmoy.jpg,"['Cloud(97.73%)', 'Sky(97.16%)', 'Plant(96.79%)', 'Ecoregion(92.76%)', 'Mountain(91.50%)', 'Natural landscape(88.95%)', 'Tree(88.92%)', 'Land lot(85.40%)', 'Biome(82.88%)', 'Terrestrial plant(82.47%)']"
sun_bastmhxkbevpcxbb.jpg,"['Stairs(88.59%)', 'Fixture(88.09%)', 'Wood(87.22%)', 'Rectangle(86.51%)', 'Composite material(79.88%)', 'Tints and shades(77.32%)', 'Gas(77.09%)', 'Parallel(76.07%)', 'Shade(75.38%)', 'Symmetry(72.29%)']"
sun_bmyfjvampsqhhohi.jpg,"['Building(95.92%)', 'Sky(95.52%)', 'Window(94.43%)', 'Property(94.24%)', 'Infrastructure(89.44%)', 'Tree(87.00%)', 'Urban design(85.57%)', 'Street light(84.95%)', 'Condominium(84.00%)', 'House(82.94%)']"
sun_boostwtgmysyltsg.jpg,"['Sky(95.86%)', 'Plant(94.69%)', 'Daytime(94.47%)', 'Property(94.30%)', 'Building(94.23%)', 'Window(93.13%)', 'Tree(87.00%)', 'Vegetation(85.63%)', 'Arecales(84.66%)', 'Neighbourhood(84.23%)']"
14605464362_d98df7887f_k.jpg,"['Cloud(97.21%)', 'Sky(96.44%)', 'Plant(93.30%)', 'Building(90.63%)', 'Window(89.49%)', 'Natural landscape(87.29%)', 'Wood(85.37%)', 'Land lot(84.52%)', 'Cottage(78.94%)', 'Facade(77.55%)']"
sun_ahtkagbklfojdner.jpg,"['Sky(96.83%)', 'Building(96.67%)', 'Daytime(94.46%)', 'Property(94.43%)', 'Architecture(85.43%)', 'Urban design(84.89%)', 'Tower block(84.32%)', 'Condominium(83.04%)', 'Tree(82.24%)', 'Residential area(79.77%)']"
13395174494_44b4eebf89_k.jpg,"['Sky(96.65%)', 'Plant(94.75%)', 'Building(94.20%)', 'Cloud(92.70%)', 'Window(92.62%)', 'Tree(90.01%)', 'Natural landscape(88.20%)', 'House(88.16%)', 'Wood(87.08%)', 'Sunlight(84.24%)']"
sun_bafrekwxjonzjktv.jpg,"['Water(97.95%)', 'Sky(97.76%)', 'Plant(96.71%)', 'Azure(89.34%)', 'Shade(88.94%)', 'Tree(86.06%)', 'Beach(85.43%)', 'Arecales(83.66%)', 'Cloud(81.62%)', 'Woody plant(80.61%)']"
sun_bwbqkloviocxctfm.jpg,"['Cloud(98.28%)', 'Sky(96.67%)', 'Atmosphere(94.82%)', 'Blue(91.22%)', 'Azure(89.62%)', 'Natural landscape(84.67%)', 'Cumulus(81.20%)', 'Tree(75.64%)', 'Horizon(75.07%)', 'Electric blue(74.60%)']"
sun_blowkvgbxsrtaqno.jpg,"['Cloud(97.37%)', 'Sky(96.99%)', 'Bedrock(86.66%)', 'Plant(82.90%)', 'Terrain(81.70%)', 'Cumulus(80.36%)', 'Mountain(79.89%)', 'Formation(78.10%)', 'Plain(77.59%)', 'Landscape(77.49%)']"
sun_becavaoalnakrvjb.jpg,"['Stairs(91.60%)', 'Light(91.06%)', 'Lighting(88.03%)', 'Wood(86.43%)', 'Architecture(85.41%)', 'Interior design(85.35%)', 'Floor(82.40%)', 'Flooring(81.91%)', 'Building(81.85%)', 'Decoration(80.01%)']"
sun_apuwvzomauxofone.jpg,"['Cloud(97.55%)', 'Building(95.82%)', 'Sky(95.71%)', 'Plant(94.54%)', 'Window(92.80%)', 'Urban design(85.78%)', 'Architecture(85.22%)', 'Condominium(83.89%)', 'Neighbourhood(83.74%)', 'Residential area(82.17%)']"
sun_bkwnoexjmbakfjkk.jpg,"['Skyscraper(96.76%)', 'Building(96.40%)', 'Water(95.31%)', 'Black(89.68%)', 'Sky(89.38%)', 'Tower(87.31%)', 'Electricity(85.51%)', 'Tower block(83.27%)', 'City(79.41%)', 'Horizon(78.25%)']"
sun_bengzsmykwchlrdn.jpg,"['Wood(88.19%)', 'Building(86.48%)', 'Brickwork(85.61%)', 'Brick(85.21%)', 'Building material(84.86%)', 'House(81.95%)', 'Gas(77.45%)', 'Facade(76.22%)', 'Composite material(75.26%)', 'Human settlement(73.05%)']"
3831721257_dd2709fbb1_o.jpg,"['Plant(96.82%)', 'Window(94.62%)', 'Building(94.13%)', 'Door(89.48%)', 'Tree(89.42%)', 'Wood(88.00%)', 'House(87.73%)', 'Cottage(85.91%)', 'Natural landscape(80.84%)', 'Rural area(80.04%)']"
sun_agonhwakgtlfocpm.jpg,"['Ecoregion(92.23%)', 'Plant(91.69%)', 'Natural landscape(89.43%)', 'Tree(89.34%)', 'Branch(87.81%)', 'People in nature(87.05%)', 'Wood(86.28%)', 'Terrestrial plant(85.16%)', 'Road surface(84.15%)', 'Shade(84.11%)']"
sun_afvylhdjvekwelyi.jpg,"['Plant(94.06%)', 'Plant community(93.01%)', 'Natural landscape(87.77%)', 'Terrestrial plant(87.02%)', 'Tree(86.13%)', 'Trunk(86.10%)', 'Wood(83.99%)', 'Deciduous(79.97%)', 'Grass(75.09%)', 'Landscape(74.64%)']"
sun_bmqfbxfmiivrzahl.jpg,"['Brown(98.05%)', 'Cloud(97.52%)', 'Sky(96.84%)', 'Slope(81.79%)', 'Horizon(77.30%)', 'Landscape(76.25%)', 'Singing sand(75.61%)', 'Aeolian landform(75.31%)', 'Erg(73.24%)', 'Tints and shades(71.75%)']"
